Date,Opening Prices
2022-09-01,126
2022-09-02,129.5
2022-09-06,127.919998
2022-09-07,126.120003
2022-09-08,127.720001
2022-09-09,130.910004
2022-09-12,134.100006
2022-09-13,131.009995
2022-09-14,127.360001
2022-09-15,127.379997
2022-09-16,122.779999
2022-09-19,122.160004
2022-09-20,123.349998
2022-09-21,122.489998
2022-09-22,117.080002
2022-09-23,116
2022-09-26,113.300003
2022-09-27,117.199997
2022-09-28,114.379997
2022-09-29,115.599998
2022-09-30,114.080002
2022-10-03,113.580002
2022-10-04,119.889999
2022-10-05,118.580002
2022-10-06,120.769997
2022-10-07,118
2022-10-10,115.099998
2022-10-11,112.709999
2022-10-12,112.489998
2022-10-13,107.879997
2022-10-14,114.099998
2022-10-17,110.110001
2022-10-18,119.059998
2022-10-19,114.709999
2022-10-20,113.830002
2022-10-21,114.790001
2022-10-24,119.980003
2022-10-25,119.650002
2022-10-26,116
2022-10-27,113.919998
2022-10-28,97.910004
2022-10-31,103.559998
2022-11-01,103.989998
2022-11-02,97.32
2022-11-03,92.470001
2022-11-04,91.489998
2022-11-07,91.949997
2022-11-08,90.790001
2022-11-09,89.470001
2022-11-10,92.940002
2022-11-11,97.879997
2022-11-14,98.769997
2022-11-15,103.209999
2022-11-16,96.849998
2022-11-17,95.370003
2022-11-18,95.949997
2022-11-21,93.970001
2022-11-22,92.620003
2022-11-23,93.239998
2022-11-25,93.790001
2022-11-28,93.93
2022-11-29,94.040001
2022-11-30,92.470001
2022-12-01,96.989998
2022-12-02,94.480003
2022-12-05,93.050003
2022-12-06,90.5
2022-12-07,88.339996
2022-12-08,89.239998
2022-12-09,88.900002
2022-12-12,89.209999
2022-12-13,95.230003
2022-12-14,92.5
2022-12-15,89.889999
2022-12-16,88.269997
2022-12-19,87.510002
2022-12-20,85.330002
2022-12-21,86.18
2022-12-22,85.519997
2022-12-23,83.25
2022-12-27,84.970001
2022-12-28,82.800003
2022-12-29,82.870003
2022-12-30,83.120003
2023-01-03,85.459999
2023-01-04,86.550003
2023-01-05,85.330002
2023-01-06,83.029999
2023-01-09,87.459999
2023-01-10,87.57
2023-01-11,90.93
2023-01-12,96.93
2023-01-13,94.18
2023-01-17,98.68
2023-01-18,97.25
2023-01-19,94.739998
2023-01-20,93.860001
2023-01-23,97.559998
2023-01-24,96.93
2023-01-25,92.559998
2023-01-26,98.239998
2023-01-27,99.529999
2023-01-30,101.089996
2023-01-31,101.160004
2023-02-01,102.529999
2023-02-02,110.25
2023-02-03,105.260002
2023-02-06,102.93
2023-02-07,101.169998
2023-02-08,102.040001
2023-02-09,101.32
2023-02-10,97.559998
2023-02-13,97.849998
2023-02-14,98.410004
2023-02-15,99.089996
2023-02-16,99.209999
2023-02-17,97.800003
2023-02-21,95.339996
2023-02-22,95.099998
2023-02-23,96.120003
2023-02-24,93.529999
2023-02-27,94.279999
2023-02-28,93.139999
2023-03-01,93.870003
2023-03-02,91.410004
2023-03-03,92.739998
2023-03-06,95.190002
2023-03-07,94.059998
2023-03-08,93.599998
2023-03-09,93.68
2023-03-10,92.669998
2023-03-13,89.970001
